restaurant_name,city,area,rating,cost_for_two,cuisine,discount,book_table,walkin_available
Aasman,Ranchi,"Hindpiri, Ranchi",5.0,₹1000 for two,Multicuisine,50% off,False,False
Never The Less,Ranchi,"Harmu, Ranchi",4.1,₹900 for two,Multicuisine,25% Off :Payeazy,False,False
Ivora,Ranchi,"Lalpur, Ranchi",5.0,₹900 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Barbeque Nation,Ranchi,Ranchi,4.6,₹1800 for two,"Barbeque, Multicuisine",Flat 10% + 25% with Bank Offers,False,False
Ansh,Ranchi,"Ahirtoli, Ranchi",3.5,₹900 for two,Multicuisine,25% Off :Payeazy,False,False
Flaves,Ranchi,"Dhurwa, Ranchi",3.8,₹600 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Little's Bistro,Ranchi,"Ashok Nagar,Ranchi",4.0,₹700 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Waterfront,Ranchi,Radisson Blu Hotel Ranchi,4.3,₹800 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Malhaari Food & Drinks,Ranchi,Ranchi,5.0,₹800 for two,Multicuisine,Flat 35% + 25% with Bank Offers,False,False
Dindigul Thalappakatti,Thiruvananthapuram,"Pattom, Thiruvananthapuram",4.8,₹950 for two,Biryani,50% off,False,False
Cofi Club,Thiruvananthapuram,"Kesavadasapuram, Thiruvananthapuram",4.5,₹600 for two,"Beverages, Cafe",25% Off :Payeazy,False,False
Atelier By Ambrosia,Thiruvananthapuram,"Pattom, Thiruvananthapuram",4.1,₹1000 for two,"Chinese, European",Flat 15% + 25% with Bank Offers,False,False
Cafe Boba Queen,Thiruvananthapuram,"Pattom, Thiruvananthapuram",5.0,₹400 for two,"Beverages, Bubble Tea",Flat 10% + 25% with Bank Offers,False,False
Opal,Thiruvananthapuram,"The Ruby Arena, Thiruvananthapuram",4.0,₹900 for two,Indian,25% Off :Payeazy,False,False
Skyy Bar,Thiruvananthapuram,"Hotel Libra, Thiruvananthapuram",2.8,₹1700 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Tummy Tales,Thiruvananthapuram,"Pattom, Thiruvananthapuram",5.0,₹1050 for two,European,Flat 10% + 25% with Bank Offers,False,False
Aasife Biryani,Thiruvananthapuram,"Kesavadasapuram, Thiruvananthapuram",3.0,₹700 for two,Biryani,25% Off :Payeazy,False,False
Bab Arabia,Thiruvananthapuram,"Marappalam, Thiruvananthapuram",4.5,₹800 for two,Arabian,25% Off :Payeazy,False,False
Shawarmashi Hamra Mandhi,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",5.0,₹400 for two,Arabian,50% off,False,False
Oriental Spice,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.0,₹500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
La Forno Cafe,Thiruvananthapuram,"Ambalamukku, Thiruvananthapuram",4.7,₹700 for two,"Beverages, Cafe",25% Off :Payeazy,False,False
Cafe Mojo,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",3.8,₹900 for two,"Thai, Continental",25% Off :Payeazy,False,False
Hoy Punjab,Thiruvananthapuram,"Venpalavattom, Thiruvananthapuram",4.5,₹1400 for two,"Indian, North Indian",Free Beverages + 25% Off,False,False
The Garden Grille & Bar,Thiruvananthapuram,"Hilton Garden Inn, Thiruvananthapuram",4.1,₹2000 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Tangerine Restocafe,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",5.0,₹500 for two,Continental,1+1 Buffet + 25% Off,False,False
Baker's Arch - A Garden Cafe,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.9,₹1000 for two,Continental,Free Drinks + 25% Off,False,False
Beijing Bites,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",3.7,₹450 for two,"Thai, Chinese, Malaysian",25% Off :Payeazy,False,False
Huddles Cafe,Thiruvananthapuram,"Nandavanam, Thiruvananthapuram",5.0,₹700 for two,Continental,50% off,False,False
O Cafe,Thiruvananthapuram,O By Tamara Trivandrum,5.0,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
Le Lumiere,Thiruvananthapuram,"Kunnukuzhy, Thiruvananthapuram",4.2,₹550 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Bao Tao - The Boba Bar,Thiruvananthapuram,"Ambalamukku, Thiruvananthapuram",5.0,₹600 for two,Fast Food,25% Off :Payeazy,False,False
Al Taza,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.0,₹800 for two,Shawarma,Flat 10% + 25% with Bank Offers,False,False
Regency,Thiruvananthapuram,"The South Park, Thiruvananthapuram",5.0,₹1100 for two,Multicuisine,25% Off :Payeazy,False,False
The Skyye Grill,Thiruvananthapuram,"The South Park, Thiruvananthapuram",4.0,₹2000 for two,"Cocktail Menu, Multicuisine",Flat 20% + 25% with Bank Offers,False,False
Fried Nation,Thiruvananthapuram,"Ambalamukku, Thiruvananthapuram",5.0,₹600 for two,"American, Italian",Flat 25% + 25% with Bank Offers,False,False
Falooda Nation,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",1.0,₹400 for two,"Desserts, Beverages",Flat 15% + 25% with Bank Offers,False,False
Oakwood The Pub,Thiruvananthapuram,"The South Park, Thiruvananthapuram",3.0,₹2500 for two,"Multicuisine, Cocktail Menu",50% off,False,False
Grill to Chill,Thiruvananthapuram,"Vivin Luxury Suites, Thiruvananthapuram",5.0,₹1000 for two,"Chinese, North Indian",Flat 20% + 25% with Bank Offers,False,False
Keys Café,Thiruvananthapuram,Keys Select By Lemon Tree Hotels - Thiruvananthapuram,4.0,₹1500 for two,"Indian, Asian, Continental",Free Beverages + 25% Off,False,False
Wrap A Loop,Thiruvananthapuram,"Pattom, Thiruvananthapuram",5.0,₹400 for two,Middle Eastern,Flat 25% + 25% with Bank Offers,False,False
Rasoi By Ruchi,Thiruvananthapuram,"Itsy Hotels Adrak, Thiruvananthapuram",5.0,₹400 for two,Multicuisine,25% Off :Payeazy,False,False
Namma Veedu Vasanta Bhavan,Thiruvananthapuram,"Kuravankonam, Thiruvananthapuram",4.3,₹400 for two,South Indian,25% Off :Payeazy,False,False
De Paris Grills,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",4.0,₹400 for two,Indian,25% Off :Payeazy,False,False
On The Rocks Executive Bar,Thiruvananthapuram,"Biverah Hotel And Suites, Thiruvananthapuram",4.0,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
Bamboos Multicusine Restaurant,Thiruvananthapuram,"Windsor Rajadhani, Thiruvananthapuram",4.0,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
The Edge Cocktail Lounge,Thiruvananthapuram,"Kowdiar, Thiruvananthapuram",4.0,₹1500 for two,"Finger Food, Cocktail Menu",50% off,False,False
Le Capital,Thiruvananthapuram,"Palayam, Thiruvananthapuram",4.0,₹500 for two,Multicuisine,25% Off :Payeazy,False,False
Diners' Summit - Multi Cuisine Restaurant,Thiruvananthapuram,"Biverah Hotel And Suites, Thiruvananthapuram",4.0,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
Palace View Rooftop Restaurant,Thiruvananthapuram,"Windsor Rajadhani, Thiruvananthapuram",4.0,₹1000 for two,Multicuisine,25% Off :Payeazy,False,False
Villa Maya,Thiruvananthapuram,"Vallakkadavu, Thiruvananthapuram",4.8,₹2500 for two,Multicuisine,25% Off :Payeazy,False,False
V BAR,Thiruvananthapuram,"Hilton Garden Inn, Thiruvananthapuram",4.7,₹2500 for two,Multicuisine,25% Off :Payeazy,False,False
Restaurant Chef Pillai,Thiruvananthapuram,"Vallakkadavu, Thiruvananthapuram",3.5,₹800 for two,Multicuisine,Flat 25% + 25% with Bank Offers,False,False
Barbeque Nation,Thiruvananthapuram,"LuLu Mall, Thiruvananthapuram",4.6,₹2000 for two,"Multicuisine, Barbeque",25% Off :Payeazy,False,False
Ambrosia- The Classic Bakehouse,Thiruvananthapuram,"Palayam, Thiruvananthapuram",4.0,₹600 for two,"Bakery, Chinese, Italian",25% Off :Payeazy,False,False
Suaa Club & Restro,Nagpur,"Sadar, Nagpur",4.0,₹1400 for two,Multicuisine,50% off,False,False
Brickhaus,Nagpur,"Civil Lines, Nagpur",4.0,₹1200 for two,Continental,Flat 50% + 25% with Bank Offers,False,False
The Beer Café,Nagpur,"Gokulpeth, Nagpur",4.8,₹800 for two,"Cocktail Menu, Multicuisine",25% Off :Payeazy,False,False
Momentt,Nagpur,"ENRISE by Sayaji, Bajaj Nagar",4.0,₹1400 for two,Multicuisine,Flat 50% + 25% with Bank Offers,False,False
Tokii : Treasury of Asian Cuisine,Nagpur,"Trimurtee Nagar, Nagpur",4.3,₹1600 for two,Pan Asian,Flat 15% + 25% with Bank Offers,False,False
Yamazaki Pan Asian Cuisine,Nagpur,"Bajaj Nagar, Nagpur",4.0,₹1100 for two,Pan Asian,25% Off :Payeazy,False,False
The Opera House,Nagpur,"Sitabuldi, Nagpur",5.0,₹1200 for two,Multicuisine,25% Off :Payeazy,False,False
Barbeque Nation,Nagpur,Nagpur,4.7,₹1900 for two,"Multicuisine, Barbeque",Flat 30% + 25% with Bank Offers,False,False
Bella brew,Nagpur,"Gorepeth, Nagpur",3.8,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
Naivedhyam Restaurant,Nagpur,"Sitabuldi, Nagpur",4.1,₹1200 for two,Multicuisine,50% off,False,False
Side Walk,Nagpur,"Hotel Hardeo, Nagpur",5.0,₹1400 for two,European,25% Off :Payeazy,False,False
Kalpataru,Nagpur,"Hotel Hardeo, Nagpur",5.0,₹1400 for two,Indian,Flat 35% + 25% with Bank Offers,False,False
Veerji Malai Chaap Wale,Nagpur,"Sitabuldi, Nagpur",4.0,₹400 for two,North Indian,Flat 20% + 25% with Bank Offers,False,False
AB's - Absolute Barbecues,Nagpur,Nagpur,4.5,₹1850 for two,"Multicuisine, Barbeque",Flat 10% + 25% with Bank Offers,False,False
Little Italy,Nagpur,"Civil Lines, Nagpur",4.1,₹1400 for two,"Mexican, Italian",25% Off :Payeazy,False,False
Tattwam,Nagpur,"Ramdaspeth, Nagpur",4.5,₹1000 for two,Indian,Flat 15% + 25% with Bank Offers,False,False
East India Company,Nagpur,"Civil Lines, Nagpur",4.5,₹1200 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Warehouse Cafe,Nagpur,"Rambagh Layout, Nagpur",5.0,₹1500 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
High Steaks,Nagpur,"Hotel Centre Point, Nagpur",3.7,₹2200 for two,European,50% off,False,False
Pablo,Nagpur,"Civil Lines, Nagpur",5.0,₹1600 for two,Italian,Flat 10% + 25% with Bank Offers,False,False
Hitchki,Nagpur,"Chaoni, Nagpur",3.3,₹2000 for two,Modern Indian,Flat 25% + 25% with Bank Offers,False,False
BellaVista Cafe & Skybar,Nagpur,"Civil Lines, Nagpur",5.0,₹1500 for two,"Cocktail Menu, Multicuisine",25% Off :Payeazy,False,False
Yello - Restaurant & Bar,Nagpur,"Civil Lines, Nagpur",3.5,₹1200 for two,"Cocktail Menu, Multicuisine",Flat 10% + 25% with Bank Offers,False,False
Tipsy Turk,Nagpur,"Sadar, Nagpur",3.7,₹3000 for two,Multicuisine,25% Off :Payeazy,False,False
Tao - The Asian Kitchen,Nagpur,"Civil Lines, Nagpur",4.0,₹1900 for two,Pan Asian,Flat 15% + 25% with Bank Offers,False,False
Agent Jack's Bar,Nagpur,"Rambagh Layout, Nagpur",5.0,₹1800 for two,"Finger Food, Cocktail Menu",Flat 10% + 25% with Bank Offers,False,False
Tds Restro Lounge,Nagpur,"Ramdaspeth, Nagpur",1.0,₹1800 for two,"European, oriental",Flat 15% + 25% with Bank Offers,False,False
Uttar Dakshin,Nagpur,"Dhantoli, Nagpur",4.7,₹1000 for two,South Indian,50% off,False,False
Durva Restaurant,Nagpur,"Dhantoli, Nagpur",5.0,₹800 for two,Multicuisine,25% Off :Payeazy,False,False
Masato,Nagpur,"Civil Lines, Nagpur",4.0,₹1500 for two,"Chinese, Pan Asian",Flat 10% + 25% with Bank Offers,False,False
Ark - Indian Kitchen,Nagpur,"Civil Lines, Nagpur",4.0,₹1600 for two,Indian,Flat 20% + 25% with Bank Offers,False,False
The H Cafe,Nagpur,"Gorepeth, Nagpur",4.0,₹800 for two,European,Flat 10% + 25% with Bank Offers,False,False
Cafe De Sana,Nagpur,"Chaoni, Nagpur",4.0,₹500 for two,Italian,Flat 10% + 25% with Bank Offers,False,False
COSO Cocktails & Socials,Nagpur,"Mohan Nagar, Nagpur",4.0,₹2500 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Uptown501 Cafe-lounge,Nagpur,"Dharampeth, Nagpur",4.0,₹1500 for two,Multicuisine,25% Off :Payeazy,False,False
Kiana- The Fine-Dine Restaurant,Nagpur,"Sadar, Nagpur",3.0,₹1000 for two,"Chinese, Indian",Flat 20% + 25% with Bank Offers,False,False
Meeting Points,Nagpur,"Hotel Centre Point, Nagpur",5.0,₹2200 for two,Multicuisine,50% off,False,False
Idli Express,Nagpur,"Bajaj Nagar, Nagpur",4.0,₹400 for two,South Indian,Flat 10% + 25% with Bank Offers,False,False
Moksh - The Restrolounge,Nagpur,"Sitabuldi, Nagpur",4.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Salt - All Day Brew,Nagpur,"Civil Lines, Nagpur",3.7,₹1000 for two,Multicuisine,Flat 30% + 25% with Bank Offers,False,False
Three Beans Coffee Bar,Nagpur,"Dharampeth, Nagpur",4.0,₹600 for two,Multicuisine,Flat 20% + 25% with Bank Offers,False,False
TOS (The Other Side),Nagpur,"Sadar, Nagpur",4.0,₹1350 for two,Indian,Flat 15% + 25% with Bank Offers,False,False
Liberty Family Restaurant,Nagpur,"Sadar, Nagpur",4.0,₹1100 for two,"Chinese, Indian",Flat 15% + 25% with Bank Offers,False,False
Mishree,Nagpur,"Mohan Nagar, Nagpur",4.0,₹1000 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Freakk De Bistro,Nagpur,"Hotel Centre Point, Nagpur",4.0,₹2200 for two,"Finger Food, Cocktail Menu",Flat 15% + 25% with Bank Offers,False,False
Ali Baba 40 Golden Dishes,Madurai,"Hotel President, Madurai",3.0,₹500 for two,Multicuisine,50% off,False,False
Moskva,Madurai,"Moskva Hotel, Madurai",5.0,₹600 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Bocs Pizza,Madurai,"KK Nagar, Madurai",4.7,₹600 for two,Fast Food,25% Off :Payeazy,False,False
Blind Ch3mistry,Madurai,"Bypass Road, Madurai",4.4,₹1200 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Orchid,Madurai,"Fortune Pandiyan Hotel, Madurai",4.4,₹1600 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Bistro 978,Madurai,"Tallakulam, Madurai",5.0,₹700 for two,"Italian, Continental",Flat 10% + 25% with Bank Offers,False,False
Barbeque Nation,Madurai,"Ganesh Nagar, Madurai",4.0,₹2000 for two,"North Indian, Barbeque",Free Appetizer + 25% Off,False,False
The Chopstix,Madurai,"KK Nagar, Madurai",2.5,₹700 for two,Multicuisine,25% Off :Payeazy,False,False
The Sandwich Club,Madurai,"Viswanathapuram, Madurai",4.6,₹350 for two,Fast Food,Flat 10% + 25% with Bank Offers,False,False
Yaal,Madurai,"JC Residency, Madurai",4.3,₹1500 for two,"Indian, Chinese",50% off,False,False
Rahman Biryani,Madurai,"KK Nagar, Madurai",4.0,₹700 for two,Biryani,Flat 10% + 25% with Bank Offers,False,False
British Bakery Cafe,Madurai,"Narimedu, Madurai",4.0,₹400 for two,Cafe,Flat 10% + 25% with Bank Offers,False,False
Aarathy Restaurant,Madurai,Madurai,4.0,₹300 for two,Multicuisine,Free Beverages + 25% Off,False,False
The Chocolate Room,Madurai,"KK Nagar, Madurai",5.0,₹600 for two,"Beverages, Desserts",Free Beverages + 25% Off,False,False
INOX,Madurai,Vishaal De Mall,3.7,₹500 for two,Fast Food,Flat 10% + 25% with Bank Offers,False,False
Bazaar- All Day Diner,Madurai,"Grand Madurai by GRT Hotels, Madurai",4.0,₹1200 for two,South Indian,Flat 15% + 25% with Bank Offers,False,False
Dindigul Thalappakatti,Madurai,"Kalavasal, Madurai",3.7,₹950 for two,Biryani,25% Off :Payeazy,False,False
Hotel Weshtern Park,Madurai,"Weshtern Park, Madurai",1.0,₹450 for two,Indian,Free Beverages + 25% Off,False,False
Phil's Bistro,Madurai,"KK Nagar, Madurai",5.0,₹1300 for two,Continental,50% off,False,False
Marudheeswara,Madurai,"Kannanenthal, Madurai",4.0,₹1000 for two,"Indian, Continental",Flat 10% + 25% with Bank Offers,False,False
Grand Ayyanaar,Madurai,"Sterling V Grand,Madurai",4.7,₹1000 for two,Multicuisine,Free Beverages + 25% Off,False,False
Aasife Biriyani,Madurai,"Swami Vivekananda Nagar, Madurai",5.0,₹840 for two,Biryani,Flat 10% + 25% with Bank Offers,False,False
Ahaaram Restaurant,Madurai,Regency Madurai by GRT Hotels,3.2,₹1000 for two,Multicuisine,Free Beverages + 25% Off,False,False
Aibaik,Madurai,"Reserve Police Line, Madurai",5.0,₹800 for two,Multicuisine,Free Beverages + 25% Off,False,False
Upper Deck,Madurai,"Sterling V Grand,Madurai",3.0,₹1000 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Sharief Bhai Biryani,Madurai,"Anna Nagar, Madurai",3.5,₹700 for two,Biryani,Flat 10% + 25% with Bank Offers,False,False
Cinnamon The Pastry Shop,Madurai,Madurai,4.0,₹800 for two,"Cafe, Desserts",Flat 15% + 25% with Bank Offers,False,False
Slice,Madurai,"Grand Madurai by GRT Hotels, Madurai",4.0,₹1000 for two,"Bakery, Cafe",50% off,False,False
Topi Vappa Biriyani,Madurai,"Melapanangadi, Madurai",4.0,₹600 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Waalai Aahar,Madurai,"Sathamangalam, Madurai",5.0,₹500 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Sterling Local Restobar,Madurai,"Sterling V Grand,Madurai",4.0,₹1600 for two,Cocktail Menu,Flat 10% + 25% with Bank Offers,False,False
Studio 79,Madurai,"Grand Madurai by GRT Hotels, Madurai",5.0,₹1000 for two,Multicuisine,Flat 10% + 25% with Bank Offers,False,False
Hunger Heist,Madurai,"Anna Nagar, Madurai",4.0,₹550 for two,Cafe,25% Off :Payeazy,False,False
Amsavalli Restaurant,Madurai,"LA VIVANTA HOTEL,MADURAI",1.0,₹1150 for two,Multicuisine,25% Off :Payeazy,False,False
isandy,Madurai,"Pasumalai, Madurai",5.0,₹600 for two,"Fast Food, Cafe",Free Beverages + 25% Off,False,False
Phil’s Bake House (Bakery & Cafe),Madurai,"Alagar Kovil Main Road, Madurai",5.0,₹400 for two,Fast Food,Free Dessert + 25% Off,False,False
Farmer's Bistro,Abu-Dhabi,"Al Mushrif, Abu Dhabi",4.0,AED100 for two,Multicuisine,50% off,False,False
Punjab Grill,Abu-Dhabi,"The Ritz-Carlton Abu Dhabi, Grand Canal",4.9,AED325 for two,Indian,Flat 20% + 25% with Bank Offers,False,False
India Palace,Abu-Dhabi,"Mazyad Mall, Mussafah Shabiya",4.0,AED180 for two,Indian,Flat 25% + 25% with Bank Offers,False,False
Pincode By Kunal Kapur,Abu-Dhabi,The Galleria Al Maryah Island,4.0,AED200 for two,Multicuisine,Flat 15% + 25% with Bank Offers,False,False
Mings Chamber,Abu-Dhabi,"Al Wahda Mall, Al Wahda",4.0,AED120 for two,Asian,Flat 10% + 25% with Bank Offers,False,False
Peppermill,Abu-Dhabi,"Al Wahda Mall, Al Wahda",3.0,AED155 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
PizzaExpress,Abu-Dhabi,"Al Reem Island, Abu Dhabi",5.0,AED200 for two,Italian,Flat 10% + 25% with Bank Offers,False,False
Bikanervala,Abu-Dhabi,Abu Dhabi,4.0,AED65 for two,Street Food,Flat 25% + 25% with Bank Offers,False,False
Moksha,Abu-Dhabi,"Al Bateen, Abu Dhabi, Abu Dhabi",4.0,AED200 for two,Indian,Free Drinks + 25% Off,False,False
Pure punjabi,Abu-Dhabi,"Mushrif Mall, Abu Dhabi",4.0,AED80 for two,Multicuisine,50% off,False,False
Via Delhi Restaurant,Abu-Dhabi,"Al Danah, Abu Dhabi",4.0,AED100 for two,Indian,Flat 10% + 25% with Bank Offers,False,False
World of Asia,Abu-Dhabi,"Al Danah, Abu Dhabi",4.0,AED50 for two,"Chinese, North Indian",25% Off :Payeazy,False,False
49ers,Abu-Dhabi,Le Méridien Abu Dhabi,4.0,AED345 for two,Multicuisine,25% Off :Payeazy,False,False
Barbeque Nation,Abu-Dhabi,"Al Wahda Mall, Al Wahda",4.7,AED150 for two,Indian,20% Off,False,False
Ushna Comida Restaurant,Abu-Dhabi,The Souk Qaryat Al Beri,5.0,AED310 for two,Indian,40% Off,False,False
Thai Point Restaurant,Abu-Dhabi,Al Dhafrah,5.0,AED75 for two,Thai,25% Off,False,False
Thai Street Restaurant,Abu-Dhabi,"Al Markaziya, Abu Dhabi",1.0,AED50 for two,Thai,20% Off,False,False
Larte Restaurant and Lounge LLC,Abu-Dhabi,"Saadiyat Island, Abu Dhabi",4.0,AED250 for two,Italian,,False,False
Jehangirs’s  Al Ain,Abu-Dhabi,"Al Jimi Mall, Abu Dhabi",4.0,AED160 for two,Indian,50% off,False,False
